title,author,poem_text,url_to_poem,publication_date,your_initials,Theme
The Gods of the Age,Adeeba Talukder,"""When they first
glimpsed Creation, it was only
                             half-lit.

Half-lit,
as in, only half-clear-
that night, they discerned
                                      and imagined.

In the mind's waters,
a blurring,                   a refraction.
There, we were brimming,
we were multitudes,

but they saw our darkness
and named us Dark.'""",https://www.poets.org/poetsorg/poem/gods-age,2018,PP,Creation
This Paradise This This,Alex Lemon,"""What I need from this
Slap & tickle is a full

Suckle of lies. Glue
My lips together with

Blow flies. I am not
Ashamed at how hot

My cravings swing-
Cinder blocks crashed

Through car windows
& a joyous Wuuuu-Wuuuuu

Shouted at the dark
Puckering stars. I love

My calamity-say I am
The prettiest thing

You have ever seen
When the fire starts.'""",https://www.poets.org/poetsorg/poem/paradise,2017,PP,Deception
Papyrus,Ezra Pound,"""Spring . . . . . . .
 Too long . . . . . .
 Gongula . . . . . .'""",https://www.poets.org/poetsorg/poem/papyrus,1885 - 1972,JS,Spring
In cold spring air,Reginald Gibbons,"""In cold
 spring air the
 white wisp-
 visible
 breath of
 a blackbird
 singing-
 we don't know
 to un-
 wrap these blind-
 folds we
 keep thinking
 we are
 seeing through'""",https://www.poets.org/poetsorg/poem/cold-spring-air,,JS,Spring
The Happiest Day,Edgar Allan Poe,"""""I

 The happiest day-the happiest hour
 My seared and blighted heart hath known,
 The highest hope of pride and power,
 I feel hath flown.

 Of power! said I? Yes! such I ween
 But they have vanished long, alas!
 The visions of my youth have been
 But let them pass.

 III

 And pride, what have I now with thee?
 Another brow may ev'n inherit
 The venom thou hast poured on me
 Be still my spirit!

 IV

 The happiest day-the happiest hour
 Mine eyes shall see-have ever seen
 The brightest glance of pride and power
 I feet have been:

 V

 But were that hope of pride and power
 Now offered with the pain
 Ev'n then I felt-that brightest hour
 I would not live again:

 VI

 For on its wing was dark alloy
 And as it fluttered-fell
 An essence-powerful to destroy""
 A soul that knew it well.

 1827.""""",https://www.poets.org/poetsorg/poem/happiest-day,1809 - 1849,JS,Happiness
Waiting for Happiness,Nomi Stone,"""""Dog knows when friend will come home
 because each hour friend's smell pales,
 air paring down the good smell
 with its little diamond. It means I miss you
 O I miss you, how hard it is to wait
 for my happiness, and how good when
 it arrives. Here we are in our bodies,
 ripe as avocados, softer, brightening
 with latencies like a hot, blue core
 of electricity: our ankles knotted to our
 calves by a thread, womb sparking
 with watermelon seeds we swallowed
 as children, the heart again badly hurt, trying
 and failing. But it is almost five says
 the dog. It is almost five.""""",https://www.poets.org/poetsorg/poem/waiting-happiness,,JS,Happiness
Lost Dog,Ellen Bass,"""""It's just getting dark, fog drifting in,
 damp grasses fragrant with anise and mint,
 and though I call his name
 until my voice cracks,
 there's no faint tinkling
 of tag against collar, no sleek
 black silhouette with tall ears rushing
 toward me through the wild radish.

 As it turns out, he's trotted home,
 tracing the route of his trusty urine.
 Now he sprawls on the deep red rug, not dead,
 not stolen by a car on West Cliff Drive.

 Every time I look at him, the wide head
 resting on outstretched paws,
 joy does another lap around the racetrack
 of my heart. Even in sleep
 when I turn over to ease my bad hip,
 I'm suffused with contentment.

 If I could lose him like this every day
 I'd be the happiest woman alive.""""",https://www.poets.org/poetsorg/poem/lost-dog,,JS,Friendship
Dog Tag,Jane Hirshfield,"""""At last understanding
 that everything my friend had been saying
 for the thirty-three months since he knew
 were words of the dog tag, words of, whatever else,
 the milled and stamped-into metal of what stays behind.
 Blackcap Mountain. Blue scorpion venom. Persimmon pudding.
 He spoke them.
 He could not say love enough times.
 It clinked against itself, it clinked against its little chain.""""",https://www.poets.org/poetsorg/poem/dog-tag,1953,JS,Friendship
My Friends,Ali Power,"""""my friends
create the mood
by describing it
turning off all the lights
a place in our minds
wakes as in water
we dance alone and with each other
we make circles around each other
get close then step back
then get close again
my friends
the furniture is round
the furniture is covered
in bluets
there are drugs my friends
why be evasive
when you can listen to an audio book
about a biologist
on a mysterious expedition
to Area X
an area cut off from civilization
today I've spoken to no one
and I feel fine
but feelings aren't facts my friends
and I've eaten the last of the cheese
and table water crackers
and I have no salary
but I will hold you""""",https://www.poets.org/poetsorg/poem/my-friends-0,2017,JS,Friendship
To E,Sara Teasdale,"""""The door was opened and I saw you there
And for the first time heard you speak my name.
Then like the sun your sweetness overcame
My shy and shadowy mood; I was aware
That joy was hidden in your happy hair,
And that for you love held no hint of shame;
My eyes caught light from yours, within whose flame
Humor and passion have an equal share.

How many times since then have I not seen
Your great eyes widen when you talk of love,
And darken slowly with a fair desire;
How many times since then your soul has been
Clear to my gaze as curving skies above,
Wearing like them a raiment made of fire.""""",https://www.poets.org/poetsorg/poem/e,1884-1933,JS,Friendship
"Oceanside, CA",Marie-Elizabeth Mali,"""""Balancing on crutches in the shallows
near her mother, a girl missing her right lower leg
swings her body and falls, laughing.
Behind them, her father and brother play catch.
Up the beach, the incoming tide nibbles
a sleeping woman, another beer is opened.
A young veteran walks by with a high and tight
buzz cut and Semper Fi shoulder tattoo, his right leg
a prosthesis to mid-thigh. He approaches
the family, removes the prosthesis, and joins
the girl in the water. They lift shorn legs high
and smack them down. No one talks about the war.""""",https://www.poets.org/poetsorg/poem/oceanside-ca,2010,JS,Friendship
After Dinner,Lisa Pegram,"""""What is said in conversation
when all of the women leave
the room? Satin glove slipped
from fist. An uncut deck of cards.

The men show their teeth. Mark
opinions like territory. Laugh
upside down, wrinkles shape-
shifting between stone, wood

and flesh. This cut & paste debate
sits in the shade of cigar smoke.
Sips dark liquors neat, no chaser.
Spans home front and auction block.

Laughter and shit talk roll
like distant thunder. Make bridges
of fragments. End in guarded
embraces as quick as they are firm.""""",https://www.poets.org/poetsorg/poem/after-dinner,2015,JS,Friendship
"Goat, Cow, Man",Ellen Bass,"""""After the mob murdered the man for eating
a cow, it was found to be meat
from a goat. Why can I not
stop thinking about it-
the stringy flesh inside his gut,
and the microbes run riot when his heart
stopped-how fast they started
breaking down the blood-clotted
muscle of his stomach, slick intestines,
as though they were meant
to destroy the evidence of human-what
can I call it? sin? the curse of certainty? some twist
in the helix that insists on splitting
us apart?-the cow is not the goat. I am not
you. The man is a few inches of old newsprint,
a knot of hair, eye sockets,
but I keep picturing that
kitchen, his wife and children stuttering,
it's goat, it's goat,
and the goat, her white
coat, the little kernels of her teeth,
her pale slitted eyes.""""",https://www.poets.org/poetsorg/poem/goat-cow-man,2017,KR,
Animals Above Me,Deborah Keenan,"""My neighbor cradles a coyote at the top of the hill behind my house.
She is screaming at me to stop being so afraid.
Then the keening yet ecstatic cry of our neighborhood hawk, and then
The plunge, the lift, the rabbit, crying.
Worst, the nightly dreams of the snake, huge, yellow and green,
On the high shelving in my old house, sometimes the bedroom,
Sometimes the dining room. The dream makes me sick
And I wake from it every night between 3:30 and 4:00. Comforting
Books do not comfort, so I get up exhausted and start the day.
Other neighbors keep telling me: as long as you see it, you don't need
To be afraid. Then in the next dream, I cannot see it.
I am sick and afraid. I wake up again.
The bear straddling my maple tree, about twenty feet up.
Is he scared?
I am so sick of thinking about how safe I am, so sick of making
Animals carry all my fear. The human beings in our country,
Half, at least, live in terror. In our world, half, at least,
Terrified, desperate, sick with fear. I see it. I cannot see it.
I see it.'""",https://www.poets.org/poetsorg/poem/animals-above-me,2018,KR,Animals
The Audience,David Welch,"""The new mystery arrived at midnight
and so the boy swished it like wine between his teeth.
I feel now like I have a purpose, the boy said,
and his audience acknowledged that they understood
and began to cheer as if watching a rabbit untangle itself
from a poorly set trap. Dawn came and the mystery remained.
Soon, the boy said, I will have for you a proposition.
How will we know, asked his audience, that your proposition is
in proportion to your purpose. You will know, said the boy,
by how many rabbits you find waiting tonight in the woods.
If tonight is a night of rabbits, you will see them in
proportion to the trees. And if the rabbits are proportional,
said the audience, we'll understand the proportions
of your proposition. Yes, said the boy. The audience
dispersed. They went to go wait for the rabbits.
The boy decided he would attend to his new mystery.
Daylight passed and in the twilight the boy experienced
a twitching on the edge of the trees. He called out to his audience
but no one responded. He kicked the ground
and the twitching only continued to grow more frantic.
The boy decided he would make a proposition to god,
though he knew it would be without purpose, and suddenly
he understood how surrounded he was.'""",https://www.poets.org/poetsorg/poem/audience-0,2011,KR,Animals
The Cow in Apple Time,Robert Frost,"""Something inspires the only cow of late
To make no more of a wall than an open gate,
And think no more of wall-builders than fools.
Her face is flecked with pomace and she drools
A cider syrup. Having tasted fruit,
She scorns a pasture withering to the root.
She runs from tree to tree where lie and sweeten
The windfalls spiked with stubble and worm-eaten.
She leaves them bitten when she has to fly.
She bellows on a knoll against the sky.
Her udder shrivels and the milk goes dry.'""",https://www.poets.org/poetsorg/poem/cow-apple-time,1874-1963,KR,Animals
Animals Imagined,Bin Ramke,"""A boy on a horse,
a boy on a horse along a river.
Less simple-time intervenes thievish.
A boy on a horse in the rain along a river.
A picture emerges from mist-faint rain
hiding the regnant risk, arrowing rain,
boy lost on a horse in the rain along a river,
a high bluff beside water. Story:
the bit firm in the horse's mouth
the hand of the boy unfirm.
What we played we played, dangerous
only in retrospect.
If it can be remembered
it was survived,
the era of imagined
horses in radiant landscape;
only the rivers remain.'""",https://www.poets.org/poetsorg/poem/animals-imagined,2018,KR,Animals
The Gray Heron,Galway Kinnell,"""It held its head still
while its body and green
legs wobbled in wide arcs
from side to side. When
it stalked out of sight,
I went after it, but all
I could find where I was
expecting to see the bird
was a three-foot-long lizard
in ill-fitting skin
and with linear mouth
expressive of the even temper
of the mineral kingdom.
It stopped and tilted its head,
which was much like
a fieldstone with an eye
in it, which was watching me
to see if I would go
or change into something else.'""",https://www.poets.org/poetsorg/poem/gray-heron,2017,KR,Animals
Harbor Seal,Amanda Hawkins,"""She did not seem
            focused
                        on any one thing.
She swam
            'the river
                        dark mottled face
            above the surface
                        her nose
                                    pointed up stream.

            But      then she turned
her face  neck     fair
             bare belly
                 to the sky
                        and closed her eyes-
as if to listen
            or remember
                        or memorize.'""",https://www.poets.org/poetsorg/poem/harbor-seal,2015,KR,Animals
Circus City,Carol Frost,"""This is what life is really like.
This is what life is really like.
This is what life is really like every day.
  
-Gray Parrot, Vienna, 1943.


In the circus animals' diary: ""And all this was destroyed in ninety minutes.""
Makeshift forests flaming to high heavens, metal bent bars.
Siberian tigers, black panthers, jaguars, pumas,
bears, hyenas and wolves, and all the lion pit saved from burning
by the keepers' own hands. By bullets. Only so much can be said.
Herbage will be scarce. Nature will gather like sleeping poppies
over the craters and lost species.
The African wart-hog will be cooked over an open fire in the garden.
One thinks of one's restlessness, Faustian-
in the minutes-before-dawn dark
with the devil cry of black crows, the miry skull
of the half-eaten rabbit, then gold grimy hills
and light-making jewels and hand mirrors among the trees.
Why are you here? It dawns. All this will never be again.
The circus can't be locked. '""",https://www.poets.org/poetsorg/poem/circus-city,2017,KR,Animals
Possums,Sheila Black,"""A kind of thrill-to lie on a road
and flatten yourself,

white fur like a ball of winter,

like the March blossoms on the fruit trees,
each one folded in like

the fledgling that never made it
from the nest.

They do this when they feel threatened,
remain motionless

even when curious people come prod
them with sticks,

stiffening their pearly claws as a tree stiffens
its twigs for winter. What is it to be dead?

The possums know-that eternal watchfulness
by which the dead in their stately wisdom

watch us
who keep moving.'""",https://www.poets.org/poetsorg/poem/possums,2017,KR,Animals
Dead Deer,David Groff,"""Bolt, thwarted vault, late brake,
gasp of impact, temblor of thud-
the beast drops on the blade of hood,
ribs rip from their roots, hearts seize,
the windshield goes dark as an eyelid
curtaining to a horizon of blood,
black glass laced with lightning-

I am hit with wheel, steel, doe
embracing me backward as speed
crushes me forward into
a bursting hug, sternums to spines,

past last words,
no extra second to follow the plan to tell
God I am sorry, no foxhole repentance,
no appeal to the fate-maker,
my sentence incomplete, a fragment, a run-on,

no scenes spun out so fast
that the brain convulses with conclusion and love-

'I do not even think of you,
cough no torn word for you to live by-

I mesh corpse into carcass,
I am dead, dear,
I leave you my velocity
and there at the edge of the road
I give you my fawn.'""",https://www.poets.org/poetsorg/poem/dead-deer,2016,KR,Animals
Galway Races,W. B. Yeats,"""There where the racecourse is
Delight makes all of the one mind
The riders upon the swift horses
The field that closes in behind.
We too had good attendance once,
Hearers, hearteners of the work,
Aye, horsemen for companions
Before the merchant and the clerk
Breathed on the world with timid breath;
But some day and at some new moon
We'll learn that sleeping is not death
Hearing the whole earth change its tune,
Flesh being wild again, and it again
Crying aloud as the racecourse is;
And find hearteners among men
That ride upon horses.'""",https://www.poets.org/poetsorg/poem/galway-races,1909,KR,Animals
Null Point,Gabrielle Calvocoressi,"""The first thing I learned was to look wide
at the darkness

and not want anything. He'd say, Just look
at the darkness

and tell me what you see. I'd say, I see stars or
Just the stars, Dad.

And he'd say, Don't call them that yet. What do you see?
Just the stars, Dad.

But then I'd be quiet and let my eyes go and look wide
at the darkness.

It was like a dome. I think it frightened me to stare
at the darkness.

I see light. I see a million little lights. And he'd say
They aren't all stars.

Some were planets and some were planes and I'd say, Yeah,
they aren't all stars.

But not really believe it. But say it so not to feel stupid out there
in the darkness.'""",https://www.poets.org/poetsorg/poem/null-point,2017,NB,LGBTQ
"If You're Staying, I'll Stay Too",Meg Day,"""Maybe it's easier, having been named
            after someone: nobody
expects that you'll rule the underworld
            or judge the dead, but
they call you Pluto anyway. Planet, too.
            I know a girl like you
who used to be a thing she isn't anymore
            but hasn't changed at all.
Whose orbit didn't circle straight-whose
            size & distance never quite
seemed right-but no one cared til now.
            I was a woman once:
rounded by my own gravity, cat-called
            into hades by men who
could not see this gem of a hard rock
            was not made magnetic
for the likes of them. Hey little mama-
            don't take it so hard.
So we are frigid. So we stay relegated
            out here with our kin.
I'll wear my fade tight & my tie loose
            if you play your radio loud.
They say we're known only in comparison
            to that which surrounds
us, so I'd guess they'll hear our signal soon.
            I was a woman once,
but that's not the farthest thing from the sun
            another universe might've
let me be: another universe might've let us be.'""",https://www.poets.org/poetsorg/poem/if-youre-staying-ill-stay-too,2017,NB,Gender
Bildungsroman,Sam Sax,"""i never wanted to grow up to be anything horrible
as a man.  my biggest fear  was the hair  they said
would    snake    from  my   chest,   swamp    trees
breathing  as  i  ran.  i prayed for a  different  kind
of  puberty:  skin  transforming  into  floor boards
muscles  into  cobwebs, growing  pains  sounding
like an  attic  groaning  under  the  weight  of  old
photo  albums.  as a  kid  i  knew  that  there  was
a car burning above water before this life,  i woke
here  to  find  fire   scorched   my  hair  clean  off
until i shined like glass-my eyes,  two acetylene
headlamps. in my family we have a story for this:
my brother holding me in his hairless arms.  says

dad it will be a monster            we should bury it.'""",https://www.poets.org/poetsorg/poem/bildungsroman-0,2018,NB,Gender
Eccles. 9:7,Chase Berggrun,"""                                        'In my favorite fantasy
                                                   I am given

                                        permission    I am prone
                                        face toward the light
                                                      beach queen    bathed in body

A thought that comes from a coming-from     the sweet place

                           where a sunset isn't indescribable
                                                                       something simply looked at

                                                      The sun sets    I sit
                                                      sinless in sand
                                                      I sip only once'""",https://www.poets.org/poetsorg/poem/eccles-97,2019,NB,Gender
One Geography of Belonging,Kayleb Rae Candrilli,""" After Ocean Vuong's ""Prayer for the Newly Damned""

Dearest Mother, what becomes of the girl
no longer a girl?

The stretch marks from my once breasts
have migrated 

to their new tectonic 
flats. But you can always find 

hints of what used to be. 
Trust me, it is more beautiful 

this way, to look closely 
at my body and name it things like: 

    Pangea & history & so, so warm. 

Look at me now 
and you'll see how blood 

faithfully takes 
the shape of its body, 

never asking 
too many questions. 

Dearest Mother, how many rivers
did I run across your belly? 

Do you love
that they will never dry up? 

Dearest Mother, I'll make all 
this water worth it. '""",https://www.poets.org/poetsorg/poem/one-geography-belonging,2018,NB,Gender
I Invite My Parents to a Dinner Party,Chen Chen,"""In the invitation, I tell them for the seventeenth time
(the fourth in writing), that I am gay.

In the invitation, I include a picture of my boyfriend
& write, You've met him two times. But this time,

you will ask him things other than can you pass the
whatever. You will ask him

about him. You will enjoy dinner. You will be
enjoyable. Please RSVP.

They RSVP. They come.
They sit at the table & ask my boyfriend

the first of the conversation starters I slip them
upon arrival: How is work going?

I'm like the kid in Home Alone, orchestrating
every movement of a proper family, as if a pair

of scary yet deeply incompetent burglars
is watching from the outside.

My boyfriend responds in his chipper way.
I pass my father a bowl of fish ball soup-So comforting,

isn't it? My mother smiles her best
Sitting with Her Son's Boyfriend

Who Is a Boy Smile. I smile my Hurray for Doing
a Little Better Smile.

Everyone eats soup.
Then, my mother turns

to me, whispers in Mandarin, Is he coming with you
for Thanksgiving? My good friend is & she wouldn't like

this. I'm like the kid in Home Alone, pulling
on the string that makes my cardboard mother

more motherly, except she is
not cardboard, she is

already, exceedingly my mother. Waiting
for my answer.'

While my father opens up
a Boston Globe, when the invitation

clearly stated: No security
blankets. I'm like the kid

in Home Alone, except the home
is my apartment, & I'm much older, & not alone,

& not the one who needs
to learn, has to-Remind me

what's in that recipe again, my boyfriend says
to my mother, as though they have always, easily

talked. As though no one has told him
many times, what a nonlinear slapstick meets

slasher flick meets psychological
pit he is now co-starring in.

Remind me, he says
to our family.'""",https://www.poets.org/poetsorg/poem/i-invite-my-parents-dinner-party,2018,NB,Gender
In the Company of Women,January Gill O'Neil,"""Make me laugh over coffee,
make it a double, make it frothy
so it seethes in our delight.
Make my cup overflow
with your small happiness.
I want to hoot and snort and cackle and chuckle.
Let your laughter fill me like a bell.
Let me listen to your ringing and singing
as Billie Holiday croons above our heads.
Sorry, the blues are nowhere to be found.
Not tonight. Not here.
No makeup. No tears.
Only contours. Only curves.
Each sip takes back a pound,
each dry-roasted swirl takes our soul.
Can I have a refill, just one more?
Let the bitterness sink to the bottom of our lives.
Let us take this joy to go.'""",https://www.poets.org/poetsorg/poem/company-women,2014,NB,Gender
The moon rose over the bay. I had a lot of feelings.,Donika Kelly,"""I am taken with the hot animal
of my skin, grateful to swing my limbs

and have them move as I intend, though
my knee, though my shoulder, though something
is torn or tearing. Today, a dozen squid, dead

on the harbor beach: one mostly buried,
one with skin empty as a shell and hollow

feeling, and, though the tentacles look soft,
I do not touch them. I imagine they
were startled to find themselves in the sun.

I imagine the tide simply went out
without them. I imagine they cannot

feel the black flies charting the raised hills
of their eyes. I write my name in the sand:
Donika Kelly. I watch eighteen seagulls

skim the sandbar and lift low in the sky.
I pick up a pebble that looks like a green egg.

To the ditch lily I say I am in love.
To the Jeep parked haphazardly on the narrow
street I am in love. To the roses, white

petals rimmed brown, to the yellow lined
pavement, to the house trimmed in gold I am

in love. I shout with the rough calculus
of walking. Just let me find my way back,
let me move like a tide come in.'""",https://www.poets.org/poetsorg/poem/moon-rose-over-bay-i-had-lot-feelings,2017,NB,LGBTQ
Vanishment,Jordan Rice,"""He says I live far-far away as we build a robot
out of blocks. The heart's a dollar music box

he chose on his last birthday wringing every
handle for the song about a star. This year

a star ornament dashed all colors by an artist
the summer he was born. We hung it by

his window like the star he sings about at night.

It's not a star that fell inward long ago as its light
fled out. Every troubled night that first year

of his life I held him on my chest and called
his name into his sleep until he calmed

enough to watch the moon arc past the blinds
above us. Do you have two hearts

because you're a boy and a girl? You're a girl
but you're my dad and not and then he says

his mother's partner's name. Nothing changes
until it must I told myself when I lay down

on the surgeon's table. Drowsy now he sings
again about the star which is a song about

a traveler grateful for the light to chart a course. '""",https://www.poets.org/poetsorg/poem/vanishment,2019,NB,LGBTQ
A Short Note to My Very Critical and Well-Beloved Friends and Comrades,June Jordan,"""First they said I was too light
Then they said I was too dark
Then they said I was too different
Then they said I was too much the same
Then they said I was too young
Then they said I was too old
Then they said I was too interracial
Then they said I was too much a nationalist
Then they said I was too silly
Then they said I was too angry
Then they said I was too idealistic
Then they said I was too confusing altogether:
Make up your mind! They said. Are you militant
or sweet? Are you vegetarian or meat? Are you straight
or are you gay?

And I said, Hey! It's not about my mind.'""",https://www.poets.org/poetsorg/poem/short-note-my-very-critical-and-well-beloved-friends-and-comrades#,2005,NB,LGBTQ
Still I Rise,Maya Angelou,"""You may write me down in history
With your bitter, twisted lies,
You may trod me in the very dirt
But still, like dust, I'll rise.

Does my sassiness upset you?
Why are you beset with gloom?
Š—…Cause I walk like I've got oil wells
Pumping in my living room.

Just like moons and like suns,
With the certainty of tides,
Just like hopes springing high,
Still I'll rise.

Did you want to see me broken?
Bowed head and lowered eyes?
Shoulders falling down like teardrops,
Weakened by my soulful cries?

Does my haughtiness offend you?
Don't you take it awful hard
Š—…Cause I laugh like I've got gold mines
Diggin' in my own backyard.

You may shoot me with your words,
You may cut me with your eyes,
You may kill me with your hatefulness,
But still, like air, I'll rise.

Does my sexiness upset you?
Does it come as a surprise
That I dance like I've got diamonds
At the meeting of my thighs?

Out of the huts of history's shame
I rise
Up from a past that's rooted in pain
I rise
I'm a black ocean, leaping and wide,
Welling and swelling I bear in the tide.

Leaving behind nights of terror and fear
I rise
Into a daybreak that's wondrously clear
I rise
Bringing the gifts that my ancestors gave,
I am the dream and the hope of the slave.
I rise
I rise
I rise.'""",https://www.poets.org/poetsorg/poem/still-i-rise,1978,IJ,Enemies
The Raincoat,Ada Lim’_n,"""When the doctor suggested surgery
and a brace for all my youngest years,
my parents scrambled to take me
to massage therapy, deep tissue work,
osteopathy, and soon my crooked spine
unspooled a bit, I could breathe again,
and move more in a body unclouded
by pain. My mom would tell me to sing
songs to her the whole forty-five minute
drive to Middle Two Rock Road and forty-
five minutes back from physical therapy.
She'd say, even my voice sounded unfettered
by my spine afterward. So I sang and sang,
because I thought she liked it. I never
asked her what she gave up to drive me,
or how her day was before this chore. Today,
at her age, I was driving myself home from yet
another spine appointment, singing along
to some maudlin but solid song on the radio,
and I saw a mom take her raincoat off
and give it to her young daughter when
a storm took over the afternoon. My god,
I thought, my whole life I've been under her
raincoat thinking it was somehow a marvel
that I never got wet.'""",https://www.poets.org/poetsorg/poem/raincoat,2018,IJ,Daughters
Sometimes I Cry,DJ,"""I told a million lies now it's time to tell a single truth
Sometimes I cry
It's hard dealing with my pride
Not knowing whether to fight or flee
Sometimes I cry
Hard to maintain this image of a tough guy
When deep down inside I am terrified
If I ever told you I wasn't scared I lied
Struggling to make it back
To society and my family
I cry
I cry for my son who I barely see
Due to these mountains
And me and his mom's beef
I cry for my siblings who never knew their older brother
Because he stayed in the streets
I cry for my grandma who is now deceased
I cry for my life, half of which they took for me
I cry for my anger and rage
The only emotions I can show in this place
I cry for how we treat each other inside these walls
I cry for the lack of unity we have most of all
When will it end I want to know
Till then all I can do is let these tears flow'""",https://www.poets.org/poetsorg/poem/sometimes-i-cry,2019,IJ,Cities
On Anger,Rage Hezekiah,"""My white therapist calls it my edge, I hear
Angry Black Woman. She says, Strength
of Willful Negative Focus. She says, Acerbic
Intellectual Temperament. I copy her words
onto an index card. She wants
an origin story, a stranger with his hand
inside me, or worse. I'm without
linear narrative and cannot sate her. We
perform rituals on her living room floor. I burn
letters brimming with resentments, watch
the paper ember in the fireplace, admit
I don't want to let this go. What if anger,
my armor, is embedded in the marrow
of who I am. Who can I learn to be
without it? Wherever you go,
there you are. She asks what I will lose
if I surrender, I imagine a gutted fish,
silvery skin gleaming, emptied of itself-'""",https://www.poets.org/poetsorg/poem/anger,2019,IJ,Loss
Microwave Popcorn,Harmony Holiday,"""I think a lot of y'all have just been watching Dr. King get beat
    up and, ah

                      vacillating opportunists straining for a note of
    militancy     and ah

Hold your great buildings on my tiny wing      or     in my tiny
    palm      same thing different sling

and then they shot him   and     uh               left him on the front
    lawn  of everyone's    vulgar  delirium
for          having been chosen       walking home that night
     that'll show you like    candy     and   love
god     openly          reverse   order

A bird gets along beautifully in the air, but once she is on the
    ground that special equipment hampers her a great deal.


         And               Thereby home never gets to be a jaded
             resting place.'""",https://www.poets.org/poetsorg/poem/microwave-popcorn,2015,IJ,Loss
Zero Plus Anything Is A World,Jane Hirshfield,"""Four less one is three.

Three less two is one.

One less three
is what, is who,
remains.

The first cell that learned to divide
learned to subtract.

Recipe:
add salt to hunger.

Recipe:
add time to trees.

Zero plus anything
is a world.

This one
and no other,
unhidden,
by each breath changed.

Recipe:'
add death to life.

Recipe:
love without swerve what this will bring.

Sister, father, mother, husband, daughter.

Like a cello
forgiving one note as it goes,
then another.'""",https://www.poets.org/poetsorg/poem/zero-plus-anything-world,1953,IJ,Math
